game_id,home,away,timestamp,winner,loser
67a339fb-7d62-44c8-a9bd-3e5061d8a8a5,Buruburu,Phenoms,04-14-24,Phenoms,Buruburu
72759044-44b1-4c0f-8f00-ca1025e8d93d,Fam Kenya,leos,03-09-24,Fam Kenya,leos
b6b45999-f701-4b60-b545-b2c5f1f93c95,Pride Landers,Vikapu,04-12-24,Vikapu,Pride Landers
bd7cc70a-4e9b-47ab-ac05-cd60fb58f421,Leos,E Nets,03-30-24,E Nets,Leos
a2c9e0c0-2140-4a38-a40a-40629ea320f3,Fam Kenya,savio,03-09-24,Fam Kenya,savio
004f4e81-d053-4560-afb8-c11b32056824,Vikapu,clique,03-09-24,clique,Vikapu
dbc23120-9b4e-43b7-b81b-9b496c449478,BURUBURU,DeeMentor,03-16-24,DeeMentor,BURUBURU
93331b7d-4797-4390-b171-43d44e4bebcd,E Nets,KIBRA,04-07-24,E Nets,KIBRA
90073c4d-e307-457f-809a-124fa8b71563,Pride Landers,MooreWright,03-30-24,Pride Landers,MooreWright
c63cd6cc-fe6f-4988-8dcb-e2a1964716fb,Huruma,savio,03-09-24,Huruma,savio
3768182c-a5cf-435b-a8a4-dc76d42e2586,Saints,Jericho,04-14-24,Saints,Jericho
aa5b4b05-5353-4e89-96e1-5bcd386a4e50,MooreWright,Kwetu,04-07-24,Kwetu,MooreWright
ebae8d0e-2f60-4484-af67-ce7d11c8051e,Kibra,Fam Kenya,03-09-24,Fam Kenya,Kibra
93aeaad1-234b-430b-ad12-9483664fa56d,FEBA,Phenoms,03-12-24,Phenoms,FEBA
341ce311-12aa-49e3-b917-f83c4cddde07,Saints,Feba Nation,05-26-24,Saints,Feba Nation
56632386-f6df-4696-b741-ae2c881a95eb,Phenoms,Clique Mambas,10-10-24,Phenoms,Clique Mambas
2a9e89a6-9382-4871-9801-02680db0dd78,Leos,Twende,04-28-24,Twende,Leos
904e71c5-f76b-4827-9927-0f4125145ef9,Clique Mambas,Jericho Nets,04-28-24,Clique Mambas,Jericho Nets
35949233-6491-4bd8-8200-84f1cd048d80,Clique Mambas,Feba Nation,08-18-24,Clique Mambas,Feba Nation
c495876b-4730-4ba5-9a51-c5dce65c4265,Fam Kenya,Junubin,04-14-24,Fam Kenya,Junubin
