team,total_free_throw_attempts,total_free_throw_made,total_two_point_attempts,total_two_point_made,total_three_point_made,total_three_point_attempts,total_assists,total_offensive_rebounds,total_defensive_rebounds,total_turnovers,total_points,game_id,timestamp
teffad,5.0,3.0,15.0,21.0,8.0,20.0,6.0,6.0,21.0,15.0,69.0,aeb81132-90d7-4ed2-b477-824efa6ea4a8,2024-09-07T06:18:39.092Z
advance,11.0,17.0,21.0,23.0,0.0,6.0,5.0,8.0,16.0,13.0,63.0,fb44c23d-64b4-4cbc-b166-5c0a56b6046c,2024-08-10T05:18:00.071Z
saints,8.0,20.0,20.0,24.0,7.0,19.0,3.0,15.0,11.0,11.0,89.0,fb44c23d-64b4-4cbc-b166-5c0a56b6046c,2024-08-10T05:18:00.071Z
fam kenya,9.0,16.0,26.0,19.0,8.0,12.0,5.0,8.0,21.0,8.0,78.0,6a60891e-9cd9-47be-bebd-99aeabaaefb6,2024-08-10T05:16:57.247Z
jericho nets,2.0,4.0,19.0,23.0,8.0,16.0,6.0,8.0,19.0,5.0,74.0,6a60891e-9cd9-47be-bebd-99aeabaaefb6,2024-08-10T05:16:57.247Z
buruburu,8.0,9.0,20.0,12.0,7.0,11.0,3.0,5.0,11.0,8.0,54.0,cc1b6a95-0f9d-4ee0-9edd-5c4bb7a5f9a8,2024-08-10T05:18:56.406Z
huruma dragons,8.0,22.0,24.0,12.0,4.0,17.0,4.0,10.0,13.0,9.0,58.0,cc1b6a95-0f9d-4ee0-9edd-5c4bb7a5f9a8,2024-08-10T05:18:56.406Z
clique mambas,6.0,11.0,9.0,18.0,6.0,6.0,3.0,5.0,15.0,9.0,65.0,d1072de0-ca5a-4e68-942e-326503db77c1,2024-08-10T05:20:55.327Z
junubin,3.0,5.0,10.0,13.0,1.0,9.0,2.0,3.0,11.0,7.0,34.0,d1072de0-ca5a-4e68-942e-326503db77c1,2024-08-10T05:20:55.327Z
feba nation,3.0,7.0,21.0,10.0,5.0,16.0,1.0,11.0,14.0,5.0,42.0,1a72c5a3-25e5-407d-a732-ddf85b619f21,2024-08-10T05:19:59.044Z
teffad,5.0,4.0,11.0,20.0,6.0,18.0,3.0,3.0,12.0,7.0,62.0,1a72c5a3-25e5-407d-a732-ddf85b619f21,2024-08-10T05:19:59.044Z
deementor,3.0,15.0,16.0,19.0,4.0,18.0,2.0,4.0,11.0,7.0,65.0,cbfc5db2-3f5f-4a36-b4ba-440bb94226e3,2024-08-10T05:21:53.792Z
phenoms,2.0,10.0,14.0,16.0,9.0,12.0,4.0,4.0,12.0,5.0,69.0,cbfc5db2-3f5f-4a36-b4ba-440bb94226e3,2024-08-10T05:21:53.792Z
savio,7.0,3.0,22.0,15.0,1.0,10.0,4.0,7.0,10.0,12.0,36.0,0f4f8b30-62a4-4c08-babe-1cf3927b51e0,2024-09-22T07:35:29.323Z
twende,6.0,16.0,18.0,17.0,2.0,18.0,8.0,10.0,17.0,19.0,56.0,0f4f8b30-62a4-4c08-babe-1cf3927b51e0,2024-09-22T07:35:29.323Z
huruma dragons,4.0,13.0,21.0,26.0,3.0,14.0,7.0,4.0,10.0,12.0,74.0,575781e1-7b77-4caf-ab53-7dda45e3ad2d,2024-09-08T05:35:51.559Z
teffad,3.0,8.0,27.0,26.0,5.0,20.0,7.0,5.0,7.0,3.0,75.0,575781e1-7b77-4caf-ab53-7dda45e3ad2d,2024-09-08T05:35:51.559Z
clique mambas,7.0,11.0,30.0,16.0,5.0,16.0,8.0,12.0,28.0,15.0,58.0,068bc7f2-eade-4c9e-9ff8-6f65e99fe083,2024-09-22T07:36:59.146Z
fam kenya,8.0,9.0,30.0,14.0,5.0,15.0,5.0,12.0,19.0,12.0,52.0,068bc7f2-eade-4c9e-9ff8-6f65e99fe083,2024-09-22T07:36:59.146Z
feba nation,10.0,9.0,22.0,15.0,9.0,10.0,10.0,2.0,10.0,10.0,66.0,cdac9b93-a49a-4582-a070-0f2613a7876e,2024-09-08T05:37:06.449Z
saints,14.0,17.0,29.0,22.0,2.0,11.0,5.0,10.0,9.0,9.0,67.0,cdac9b93-a49a-4582-a070-0f2613a7876e,2024-09-08T05:37:06.449Z
buruburu,6.0,9.0,30.0,27.0,2.0,20.0,9.0,9.0,26.0,13.0,69.0,df2dca2d-d4e7-4cae-b5ec-e5e069936c0a,2024-10-12T05:15:36.720Z
twende,2.0,8.0,21.0,25.0,13.0,34.0,18.0,17.0,34.0,12.0,97.0,df2dca2d-d4e7-4cae-b5ec-e5e069936c0a,2024-10-12T05:15:36.720Z
clique mambas,7.0,11.0,18.0,23.0,6.0,13.0,7.0,6.0,8.0,12.0,75.0,08dd5c3c-b427-4d5a-905c-bd4e89dca5f3,2024-10-12T05:17:37.418Z
phenoms,15.0,17.0,18.0,29.0,3.0,11.0,5.0,9.0,22.0,17.0,84.0,08dd5c3c-b427-4d5a-905c-bd4e89dca5f3,2024-10-12T05:17:37.418Z
deementor,6.0,0.0,24.0,25.0,1.0,22.0,6.0,10.0,19.0,11.0,53.0,83aa5852-f787-427d-93b7-2cf9660281ed,2024-09-27T18:18:15.906Z
twende,0.0,2.0,13.0,23.0,9.0,28.0,11.0,10.0,35.0,16.0,75.0,83aa5852-f787-427d-93b7-2cf9660281ed,2024-09-27T18:18:15.906Z
kwetu,5.0,5.0,15.0,15.0,6.0,24.0,4.0,5.0,21.0,13.0,53.0,dbd7189b-ad65-481b-a151-d367b5ff44d3,2024-09-15T10:15:23.278Z
twende,4.0,4.0,17.0,17.0,9.0,23.0,12.0,6.0,26.0,9.0,65.0,dbd7189b-ad65-481b-a151-d367b5ff44d3,2024-09-15T10:15:23.278Z
leos,3.0,2.0,18.0,22.0,3.0,5.0,1.0,9.0,21.0,14.0,55.0,267f000d-535b-473c-8d8c-2f8a9949d9e4,2024-09-07T06:17:42.031Z
rangers,8.0,20.0,23.0,33.0,5.0,12.0,15.0,17.0,25.0,12.0,101.0,267f000d-535b-473c-8d8c-2f8a9949d9e4,2024-09-07T06:17:42.031Z
moorewright,9.0,5.0,19.0,19.0,1.0,4.0,5.0,2.0,15.0,15.0,46.0,20ee00d5-5114-4a82-8c91-c7b193ef54db,2024-09-07T06:21:35.674Z
vikapu,5.0,5.0,27.0,25.0,7.0,17.0,10.0,6.0,13.0,12.0,76.0,20ee00d5-5114-4a82-8c91-c7b193ef54db,2024-09-07T06:21:35.674Z
bantu,12.0,11.0,28.0,20.0,4.0,13.0,4.0,13.0,22.0,15.0,63.0,321c1237-17c0-45bb-8807-f39b5f83a34d,2024-09-08T05:33:19.974Z
e nets,3.0,16.0,31.0,28.0,6.0,17.0,9.0,12.0,25.0,9.0,90.0,321c1237-17c0-45bb-8807-f39b5f83a34d,2024-09-08T05:33:19.974Z
bantu,2.0,1.0,22.0,26.0,3.0,9.0,8.0,3.0,18.0,10.0,62.0,5f25cd89-4ec1-4989-8b75-eb1de6761d21,2024-09-07T06:16:22.885Z
twende,3.0,4.0,21.0,32.0,4.0,17.0,17.0,9.0,18.0,9.0,80.0,5f25cd89-4ec1-4989-8b75-eb1de6761d21,2024-09-07T06:16:22.885Z
bantu,3.0,3.0,23.0,17.0,3.0,15.0,5.0,8.0,4.0,14.0,46.0,9eeae1ff-b277-40e8-bc4d-a0d2cea1e0e3,2024-09-29T05:53:10.172Z
phenoms,11.0,10.0,17.0,28.0,15.0,19.0,26.0,8.0,11.0,12.0,111.0,9eeae1ff-b277-40e8-bc4d-a0d2cea1e0e3,2024-09-29T05:53:10.172Z
clique mambas,13.0,16.0,25.0,23.0,2.0,14.0,8.0,10.0,18.0,13.0,68.0,dc0bf732-b4db-4c3c-9bd2-696f9142313b,2024-09-21T09:23:49.878Z
saints,12.0,7.0,32.0,19.0,7.0,10.0,6.0,15.0,16.0,5.0,66.0,dc0bf732-b4db-4c3c-9bd2-696f9142313b,2024-09-21T09:23:49.878Z
buruburu,10.0,10.0,39.0,22.0,8.0,18.0,6.0,16.0,21.0,10.0,78.0,41914d74-dfae-4d8b-b189-0a336cdc4563,2024-09-29T07:32:06.648Z
rangers,9.0,9.0,22.0,21.0,6.0,19.0,10.0,9.0,27.0,20.0,69.0,41914d74-dfae-4d8b-b189-0a336cdc4563,2024-09-29T07:32:06.648Z
buruburu,6.0,3.0,17.0,23.0,8.0,26.0,10.0,10.0,22.0,12.0,73.0,951f160c-1117-4d1a-a7bd-3738ced961a9,2024-09-08T05:34:09.280Z
jericho nets,3.0,3.0,26.0,24.0,4.0,19.0,11.0,9.0,13.0,13.0,63.0,951f160c-1117-4d1a-a7bd-3738ced961a9,2024-09-08T05:34:09.280Z
deementor,3.0,9.0,21.0,15.0,4.0,15.0,4.0,3.0,4.0,7.0,51.0,61fad276-f313-4e06-85a5-f190f9737a73,2024-09-08T05:39:06.001Z
junubin,4.0,7.0,13.0,20.0,4.0,8.0,2.0,3.0,4.0,13.0,59.0,61fad276-f313-4e06-85a5-f190f9737a73,2024-09-08T05:39:06.001Z
junubin,4.0,9.0,11.0,7.0,3.0,12.0,5.0,9.0,9.0,14.0,32.0,8d84a4db-c06a-41d4-90d9-790f3884e287,2024-08-18T07:07:43.205Z
saints,0.0,0.0,8.0,9.0,10.0,10.0,2.0,3.0,15.0,15.0,48.0,8d84a4db-c06a-41d4-90d9-790f3884e287,2024-08-18T07:07:43.205Z
bantu,3.0,16.0,28.0,19.0,8.0,15.0,8.0,12.0,29.0,10.0,78.0,f54e974e-d9e1-4c3b-aba2-9b2ff6a0c19b,2024-10-04T20:12:36.692Z
phenoms,9.0,11.0,22.0,32.0,5.0,16.0,12.0,8.0,26.0,13.0,90.0,f54e974e-d9e1-4c3b-aba2-9b2ff6a0c19b,2024-10-04T20:12:36.692Z
db nets,7.0,9.0,20.0,15.0,5.0,18.0,2.0,12.0,21.0,9.0,54.0,c8a6e7b2-5d42-4969-9269-29f7c737b089,2024-09-14T06:29:49.999Z
leos,1.0,6.0,34.0,15.0,3.0,15.0,6.0,15.0,19.0,10.0,45.0,c8a6e7b2-5d42-4969-9269-29f7c737b089,2024-09-14T06:29:49.999Z
advance,9.0,10.0,22.0,24.0,7.0,8.0,8.0,11.0,11.0,5.0,79.0,022c5ea0-024b-4db1-afec-a3f2ab2951e0,2024-09-14T06:31:29.149Z
jericho nets,4.0,4.0,11.0,16.0,9.0,16.0,8.0,9.0,16.0,4.0,63.0,022c5ea0-024b-4db1-afec-a3f2ab2951e0,2024-09-14T06:31:29.149Z
advance,3.0,12.0,12.0,15.0,8.0,6.0,6.0,7.0,18.0,6.0,66.0,23bb2415-d985-4fff-9b45-4fa30cd865f9,2024-09-15T08:16:54.482Z
clique mambas,3.0,12.0,10.0,24.0,5.0,12.0,9.0,11.0,21.0,10.0,75.0,23bb2415-d985-4fff-9b45-4fa30cd865f9,2024-09-15T08:16:54.482Z
advance,10.0,11.0,25.0,13.0,3.0,21.0,4.0,15.0,11.0,11.0,46.0,2eb8569d-fd23-49fa-834f-a2dd37ff95b4,2024-09-07T06:15:38.728Z
junubin,3.0,8.0,20.0,24.0,1.0,9.0,5.0,12.0,25.0,21.0,59.0,2eb8569d-fd23-49fa-834f-a2dd37ff95b4,2024-09-07T06:15:38.728Z
kibra,7.0,3.0,15.0,25.0,10.0,13.0,15.0,7.0,19.0,8.0,83.0,c83a0c26-8950-4d83-9a6b-e2799033f5c4,2024-09-07T06:19:36.150Z
pride landers,3.0,2.0,15.0,23.0,3.0,9.0,6.0,6.0,17.0,11.0,57.0,c83a0c26-8950-4d83-9a6b-e2799033f5c4,2024-09-07T06:19:36.150Z
phenoms,8.0,8.0,15.0,16.0,10.0,15.0,2.0,7.0,21.0,10.0,70.0,39bf1a50-0523-4810-b2ce-f5b63e599fab,2024-09-07T06:25:00.585Z
saints,5.0,2.0,24.0,14.0,9.0,17.0,3.0,12.0,14.0,10.0,57.0,39bf1a50-0523-4810-b2ce-f5b63e599fab,2024-09-07T06:25:00.585Z
e nets,6.0,18.0,31.0,17.0,5.0,13.0,3.0,9.0,20.0,11.0,67.0,779a09f2-bc90-4435-9889-0e520c0c007c,2024-09-07T06:23:13.898Z
kwetu,6.0,17.0,20.0,22.0,4.0,12.0,4.0,4.0,25.0,8.0,73.0,779a09f2-bc90-4435-9889-0e520c0c007c,2024-09-07T06:23:13.898Z
db nets,8.0,5.0,17.0,15.0,8.0,20.0,6.0,8.0,14.0,13.0,59.0,853ca60e-e178-4ca7-8c9b-2a21c86a9836,2024-09-21T08:36:41.226Z
twende,2.0,2.0,20.0,23.0,13.0,22.0,19.0,19.0,22.0,14.0,87.0,853ca60e-e178-4ca7-8c9b-2a21c86a9836,2024-09-21T08:36:41.226Z
e nets,5.0,12.0,23.0,17.0,4.0,12.0,6.0,7.0,19.0,14.0,58.0,1f1ae8b6-6297-4ed7-87b3-097f07a838ab,2024-10-13T06:17:24.812Z
vikapu,8.0,11.0,17.0,26.0,7.0,12.0,12.0,9.0,26.0,20.0,84.0,1f1ae8b6-6297-4ed7-87b3-097f07a838ab,2024-10-13T06:17:24.812Z
e nets,8.0,6.0,42.0,25.0,2.0,11.0,11.0,25.0,16.0,10.0,62.0,b92447a1-e4cf-4587-953f-0b7e24fcf3cc,2024-10-04T20:15:51.596Z
teffad,8.0,11.0,31.0,14.0,5.0,9.0,4.0,2.0,18.0,11.0,54.0,b92447a1-e4cf-4587-953f-0b7e24fcf3cc,2024-10-04T20:15:51.596Z
db nets,8.0,12.0,17.0,15.0,7.0,16.0,5.0,4.0,14.0,11.0,63.0,5b24f9bd-706e-4ef2-8d9f-4d74bd05ca24,2024-08-11T08:00:55.427Z
kibra,7.0,8.0,17.0,21.0,6.0,13.0,5.0,9.0,14.0,8.0,68.0,5b24f9bd-706e-4ef2-8d9f-4d74bd05ca24,2024-08-11T08:00:55.427Z
deementor,10.0,13.0,34.0,18.0,1.0,14.0,5.0,9.0,24.0,3.0,52.0,fae01f75-8ce5-4009-8c6b-1416e2685540,2024-09-14T06:30:32.191Z
saints,3.0,3.0,18.0,17.0,6.0,25.0,6.0,14.0,25.0,9.0,55.0,fae01f75-8ce5-4009-8c6b-1416e2685540,2024-09-14T06:30:32.191Z
kwetu,5.0,9.0,27.0,15.0,4.0,13.0,6.0,10.0,20.0,14.0,51.0,76d26447-ae40-4693-a203-53654428f532,2024-08-11T08:02:26.616Z
savio,0.0,8.0,22.0,18.0,3.0,16.0,6.0,11.0,15.0,5.0,53.0,76d26447-ae40-4693-a203-53654428f532,2024-08-11T08:02:26.616Z
moorewright,10.0,16.0,14.0,9.0,9.0,20.0,9.0,8.0,20.0,10.0,61.0,50a63562-61c0-45fb-87f3-3925c9451d08,2024-08-11T07:18:33.861Z
pride landers,6.0,15.0,25.0,21.0,5.0,11.0,10.0,15.0,22.0,9.0,72.0,50a63562-61c0-45fb-87f3-3925c9451d08,2024-08-11T07:18:33.861Z
bantu,11.0,20.0,18.0,20.0,8.0,16.0,7.0,8.0,16.0,12.0,84.0,e30abb36-286e-41e9-94c7-4da145ce7abd,2024-08-11T07:58:13.956Z
rangers,12.0,22.0,17.0,29.0,7.0,9.0,11.0,9.0,22.0,12.0,101.0,e30abb36-286e-41e9-94c7-4da145ce7abd,2024-08-11T07:58:13.956Z
deementor,6.0,9.0,23.0,8.0,3.0,18.0,0.0,3.0,23.0,13.0,34.0,fe70288e-7af0-472d-9a9e-4fce478a50d3,2024-09-29T07:33:14.172Z
twende,2.0,9.0,21.0,33.0,4.0,20.0,14.0,13.0,33.0,8.0,87.0,fe70288e-7af0-472d-9a9e-4fce478a50d3,2024-09-29T07:33:14.172Z
feba nation,8.0,8.0,26.0,6.0,10.0,15.0,1.0,4.0,17.0,12.0,50.0,0fadef1f-eb3f-4117-b9c1-16e674b77e09,2024-09-14T06:36:54.168Z
huruma dragons,3.0,8.0,32.0,18.0,3.0,13.0,2.0,8.0,22.0,4.0,53.0,0fadef1f-eb3f-4117-b9c1-16e674b77e09,2024-09-14T06:36:54.168Z
twende,5.0,21.0,16.0,24.0,6.0,26.0,9.0,9.0,24.0,19.0,87.0,7d0c573c-ec77-4aa1-b9cd-6627bdc0bfb9,2024-08-11T08:03:14.332Z
vikapu,10.0,13.0,22.0,20.0,1.0,16.0,4.0,12.0,24.0,17.0,56.0,7d0c573c-ec77-4aa1-b9cd-6627bdc0bfb9,2024-08-11T08:03:14.332Z
fam kenya,13.0,16.0,34.0,12.0,7.0,15.0,4.0,17.0,27.0,19.0,61.0,8b5abbad-45c0-47ef-b743-3d65fb7e07c9,2024-10-13T06:18:03.211Z
kibra,7.0,15.0,35.0,22.0,1.0,15.0,3.0,13.0,20.0,19.0,62.0,8b5abbad-45c0-47ef-b743-3d65fb7e07c9,2024-10-13T06:18:03.211Z
huruma dragons,7.0,8.0,22.0,16.0,7.0,9.0,1.0,4.0,20.0,15.0,61.0,6d67fa49-e31b-4d44-8476-6c4de8dd2619,2024-09-29T07:34:07.395Z
vikapu,7.0,6.0,18.0,23.0,9.0,17.0,11.0,7.0,18.0,9.0,79.0,6d67fa49-e31b-4d44-8476-6c4de8dd2619,2024-09-29T07:34:07.395Z
db nets,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7bcf5487-e3f2-4207-8749-8899f000d694,2024-09-15T08:14:37.211Z
moorewright,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7bcf5487-e3f2-4207-8749-8899f000d694,2024-09-15T08:14:37.211Z
savio,6.0,6.0,9.0,19.0,3.0,15.0,2.0,4.0,12.0,4.0,53.0,51cbb13e-0d7a-4709-aae5-ae47c9ed0089,2024-09-21T09:24:57.517Z
vikapu,10.0,10.0,18.0,13.0,4.0,21.0,2.0,15.0,9.0,6.0,48.0,51cbb13e-0d7a-4709-aae5-ae47c9ed0089,2024-09-21T09:24:57.517Z
deementor,6.0,10.0,28.0,24.0,6.0,14.0,6.0,5.0,15.0,6.0,76.0,8cf43610-f48d-4b99-99b6-22f670fab002,2024-08-18T07:10:24.519Z
teffad,1.0,9.0,23.0,19.0,9.0,18.0,1.0,14.0,19.0,6.0,74.0,8cf43610-f48d-4b99-99b6-22f670fab002,2024-08-18T07:10:24.519Z
bantu,4.0,4.0,25.0,13.0,8.0,24.0,5.0,11.0,11.0,11.0,54.0,30b8619b-f7cd-4457-97a3-d92093174025,2024-09-14T06:29:05.168Z
kwetu,5.0,9.0,25.0,19.0,5.0,17.0,12.0,6.0,19.0,7.0,62.0,30b8619b-f7cd-4457-97a3-d92093174025,2024-09-14T06:29:05.168Z
kibra,13.0,15.0,30.0,18.0,5.0,13.0,4.0,4.0,8.0,6.0,66.0,f430f1c8-df5d-4fd1-8e31-43c61403c4a7,2024-09-29T05:54:43.880Z
saints,10.0,19.0,24.0,15.0,4.0,17.0,5.0,5.0,14.0,6.0,61.0,f430f1c8-df5d-4fd1-8e31-43c61403c4a7,2024-09-29T05:54:43.880Z
pride landers,2.0,2.0,31.0,22.0,3.0,14.0,9.0,10.0,33.0,17.0,55.0,51acc49f-ef7d-4711-98ee-30963f1c592c,2024-09-14T06:32:22.989Z
twende,5.0,7.0,22.0,26.0,7.0,36.0,13.0,13.0,23.0,13.0,80.0,51acc49f-ef7d-4711-98ee-30963f1c592c,2024-09-14T06:32:22.989Z
clique mambas,3.0,9.0,27.0,21.0,9.0,15.0,11.0,7.0,19.0,12.0,78.0,b7bafd2c-6582-4f81-97d2-703fe097ccf6,2024-10-04T20:14:20.240Z
kwetu,3.0,10.0,18.0,27.0,2.0,14.0,11.0,3.0,25.0,12.0,70.0,b7bafd2c-6582-4f81-97d2-703fe097ccf6,2024-10-04T20:14:20.240Z
kibra,8.0,8.0,25.0,21.0,3.0,22.0,6.0,10.0,24.0,12.0,59.0,fe032580-c5e0-49ce-a424-3df6a56235b2,2024-09-14T06:34:10.919Z
moorewright,2.0,2.0,29.0,16.0,7.0,22.0,6.0,10.0,20.0,16.0,55.0,fe032580-c5e0-49ce-a424-3df6a56235b2,2024-09-14T06:34:10.919Z
buruburu,8.0,13.0,31.0,25.0,6.0,20.0,2.0,21.0,21.0,6.0,81.0,282bb3bb-e7f8-42f5-87ef-80ac7364e3fb,2024-10-04T20:16:41.234Z
rangers,14.0,16.0,29.0,26.0,6.0,9.0,6.0,5.0,21.0,4.0,86.0,282bb3bb-e7f8-42f5-87ef-80ac7364e3fb,2024-10-04T20:16:41.234Z
e nets,6.0,6.0,24.0,15.0,5.0,20.0,9.0,12.0,26.0,17.0,51.0,fc52e64b-a314-45b7-abd7-7fe0cae4cb8e,2024-09-14T06:36:05.809Z
rangers,4.0,12.0,18.0,16.0,5.0,16.0,6.0,3.0,20.0,7.0,59.0,fc52e64b-a314-45b7-abd7-7fe0cae4cb8e,2024-09-14T06:36:05.809Z
advance,5.0,3.0,38.0,19.0,2.0,20.0,8.0,14.0,20.0,9.0,47.0,7e0290fa-f166-4516-84cf-34b1239d213d,2024-08-21T09:27:22.730Z
fam kenya,4.0,8.0,14.0,20.0,10.0,18.0,16.0,5.0,32.0,4.0,78.0,7e0290fa-f166-4516-84cf-34b1239d213d,2024-08-21T09:27:22.730Z
deementor,2.0,5.0,18.0,14.0,7.0,22.0,2.0,6.0,14.0,5.0,54.0,9bedbcb8-b855-4b7a-be40-4ea87e9107eb,2024-09-21T09:26:09.954Z
fam kenya,7.0,12.0,23.0,26.0,1.0,10.0,3.0,13.0,26.0,11.0,67.0,9bedbcb8-b855-4b7a-be40-4ea87e9107eb,2024-09-21T09:26:09.954Z
huruma dragons,5.0,1.0,28.0,11.0,4.0,4.0,5.0,3.0,7.0,8.0,35.0,d6d2d332-9087-4ae5-ae1a-b4e5e7a9f7a5,2024-09-27T18:18:51.554Z
vikapu,6.0,4.0,17.0,28.0,5.0,8.0,14.0,10.0,13.0,8.0,75.0,d6d2d332-9087-4ae5-ae1a-b4e5e7a9f7a5,2024-09-27T18:18:51.554Z
junubin,5.0,7.0,15.0,18.0,3.0,11.0,1.0,9.0,11.0,5.0,52.0,8dc5d883-3056-4afb-95f4-a24fec97a661,2024-09-14T06:35:24.280Z
phenoms,4.0,5.0,9.0,20.0,12.0,11.0,7.0,9.0,17.0,14.0,81.0,8dc5d883-3056-4afb-95f4-a24fec97a661,2024-09-14T06:35:24.280Z
huruma dragons,7.0,17.0,29.0,15.0,6.0,17.0,3.0,5.0,24.0,17.0,65.0,4f509e1d-1c99-479a-a0fc-7b6b456a1564,2024-10-04T20:13:25.032Z
vikapu,10.0,7.0,23.0,28.0,5.0,15.0,14.0,11.0,17.0,13.0,78.0,4f509e1d-1c99-479a-a0fc-7b6b456a1564,2024-10-04T20:13:25.032Z
rangers,7.0,9.0,17.0,11.0,3.0,13.0,4.0,5.0,14.0,13.0,40.0,38678fc4-0c0a-429c-939d-cc8e0209159a,2024-09-15T07:19:53.256Z
vikapu,6.0,3.0,12.0,17.0,8.0,16.0,10.0,10.0,21.0,8.0,61.0,38678fc4-0c0a-429c-939d-cc8e0209159a,2024-09-15T07:19:53.256Z
kibra,4.0,17.0,19.0,21.0,7.0,10.0,3.0,5.0,18.0,7.0,80.0,2624a2d8-05b7-4649-9de1-63cfb6b0b798,2024-10-04T20:15:06.931Z
saints,5.0,8.0,21.0,20.0,8.0,19.0,5.0,14.0,20.0,10.0,72.0,2624a2d8-05b7-4649-9de1-63cfb6b0b798,2024-10-04T20:15:06.931Z
e nets,10.0,15.0,12.0,12.0,2.0,4.0,4.0,6.0,14.0,13.0,45.0,05bbca74-676b-4089-97f3-48f95a34ea67,2024-08-21T09:55:08.814Z
vikapu,11.0,9.0,12.0,19.0,2.0,6.0,7.0,3.0,11.0,5.0,53.0,05bbca74-676b-4089-97f3-48f95a34ea67,2024-08-21T09:55:08.814Z
clique mambas,6.0,17.0,21.0,23.0,4.0,13.0,6.0,13.0,24.0,8.0,75.0,08321a2c-2d1b-4e3c-b006-f729f5a82f4b,2024-08-21T09:56:07.652Z
phenoms,2.0,12.0,20.0,20.0,10.0,16.0,7.0,14.0,16.0,8.0,82.0,08321a2c-2d1b-4e3c-b006-f729f5a82f4b,2024-08-21T09:56:07.652Z
buruburu,1.0,0.0,12.0,24.0,3.0,12.0,4.0,5.0,15.0,6.0,57.0,a2d15f43-4fcf-4dd0-bb0e-cdbaaa03bb11,2024-08-21T10:27:32.324Z
deementor,5.0,7.0,21.0,24.0,4.0,9.0,7.0,9.0,13.0,5.0,67.0,a2d15f43-4fcf-4dd0-bb0e-cdbaaa03bb11,2024-08-21T10:27:32.324Z
leos,6.0,4.0,22.0,11.0,4.0,10.0,5.0,6.0,16.0,20.0,38.0,042bbc75-799a-4523-adc3-6f0be598cc67,2024-09-22T07:34:02.856Z
twende,6.0,5.0,13.0,24.0,10.0,25.0,16.0,14.0,15.0,11.0,83.0,042bbc75-799a-4523-adc3-6f0be598cc67,2024-09-22T07:34:02.856Z
e nets,8.0,6.0,27.0,21.0,1.0,13.0,15.0,10.0,26.0,11.0,51.0,6d19a641-caa7-4a19-ad74-c0234db4c78a,2024-09-29T05:57:36.777Z
teffad,4.0,6.0,27.0,14.0,3.0,13.0,5.0,6.0,21.0,11.0,43.0,6d19a641-caa7-4a19-ad74-c0234db4c78a,2024-09-29T05:57:36.777Z
clique mambas,7.0,3.0,16.0,20.0,7.0,21.0,7.0,5.0,17.0,18.0,64.0,1661941a-5ec1-4d6f-b2e8-8a27168d8f80,2024-09-29T05:52:06.812Z
kwetu,7.0,8.0,22.0,15.0,3.0,29.0,3.0,2.0,12.0,6.0,47.0,1661941a-5ec1-4d6f-b2e8-8a27168d8f80,2024-09-29T05:52:06.812Z
fam kenya,8.0,12.0,31.0,14.0,6.0,8.0,7.0,8.0,11.0,17.0,58.0,a1decba9-f07c-4148-98a8-d8d442141635,2024-09-29T05:55:43.842Z
savio,3.0,9.0,24.0,22.0,1.0,9.0,3.0,3.0,9.0,14.0,56.0,a1decba9-f07c-4148-98a8-d8d442141635,2024-09-29T05:55:43.842Z
huruma dragons,8.0,4.0,24.0,13.0,9.0,20.0,7.0,10.0,13.0,8.0,57.0,45046292-1d10-46d4-9bd8-2fea3d21a730,2024-09-22T07:34:45.934Z
saints,10.0,21.0,17.0,15.0,9.0,15.0,7.0,16.0,20.0,11.0,78.0,45046292-1d10-46d4-9bd8-2fea3d21a730,2024-09-22T07:34:45.934Z
kwetu,9.0,16.0,20.0,16.0,3.0,15.0,3.0,6.0,19.0,11.0,57.0,a1e8bc07-ea1c-4407-8cfa-abedf66b7de2,2024-09-08T05:39:49.313Z
vikapu,9.0,8.0,19.0,22.0,3.0,14.0,7.0,10.0,25.0,15.0,61.0,a1e8bc07-ea1c-4407-8cfa-abedf66b7de2,2024-09-08T05:39:49.313Z
db nets,2.0,4.0,14.0,24.0,5.0,11.0,6.0,13.0,23.0,4.0,67.0,19db29b2-b658-4572-8241-934902608806,2024-09-08T05:42:52.373Z
pride landers,5.0,4.0,6.0,14.0,7.0,12.0,5.0,3.0,9.0,2.0,53.0,19db29b2-b658-4572-8241-934902608806,2024-09-08T05:42:52.373Z
huruma dragons,3.0,5.0,10.0,16.0,6.0,12.0,3.0,4.0,19.0,7.0,55.0,f01baac8-69e5-4cd0-a53f-7994de9de5a1,2024-09-15T08:09:38.992Z
phenoms,4.0,14.0,19.0,17.0,3.0,9.0,5.0,9.0,20.0,4.0,57.0,f01baac8-69e5-4cd0-a53f-7994de9de5a1,2024-09-15T08:09:38.992Z
fam kenya,3.0,8.0,11.0,17.0,5.0,6.0,8.0,5.0,18.0,7.0,57.0,a8a18952-e6dc-4884-939c-28fbdf8bbb5c,2024-09-15T08:13:13.007Z
teffad,6.0,16.0,12.0,8.0,6.0,6.0,5.0,1.0,11.0,1.0,50.0,a8a18952-e6dc-4884-939c-28fbdf8bbb5c,2024-09-15T08:13:13.007Z
