team,total_free_throw_attempts,total_free_throw_made,total_two_point_attempts,total_two_point_made,total_three_point_made,total_three_point_attempts,total_assists,total_offensive_rebounds,total_defensive_rebounds,total_turnovers,total_points,game_id,timestamp
deementor,9.0,7.0,21.0,9.0,5.0,22.0,3.0,3.0,7.0,7.0,40.0,d5c31a81-7d89-487d-bc15-40d502a1b0bf,2024-06-02T11:27:24.479Z
junubin,6.0,6.0,17.0,20.0,1.0,16.0,3.0,4.0,6.0,12.0,49.0,d5c31a81-7d89-487d-bc15-40d502a1b0bf,2024-06-02T11:27:24.479Z
e nets,9.0,7.0,38.0,23.0,4.0,15.0,9.0,21.0,19.0,13.0,65.0,b0772e52-7b0a-49fb-932d-d56401d480f5,2024-07-04T16:42:43.873Z
moorewright,7.0,2.0,20.0,15.0,5.0,18.0,4.0,7.0,13.0,15.0,47.0,b0772e52-7b0a-49fb-932d-d56401d480f5,2024-07-04T16:42:43.873Z
e nets,11.0,11.0,38.0,26.0,4.0,15.0,6.0,11.0,5.0,13.0,75.0,50296a3d-afab-4393-af95-2fff66184256,2024-06-02T12:49:28.697Z
rangers,11.0,25.0,24.0,16.0,3.0,14.0,0.0,5.0,6.0,3.0,66.0,50296a3d-afab-4393-af95-2fff66184256,2024-06-02T12:49:28.697Z
rangers,6.0,7.0,25.0,19.0,8.0,16.0,2.0,4.0,23.0,7.0,69.0,c2f605f7-dd28-42e3-860c-24f66f63dde6,2024-05-25T07:23:34.809Z
savio,6.0,7.0,27.0,17.0,3.0,21.0,3.0,13.0,21.0,14.0,50.0,c2f605f7-dd28-42e3-860c-24f66f63dde6,2024-05-25T07:23:34.809Z
clique mambas,7.0,16.0,24.0,13.0,4.0,21.0,3.0,11.0,13.0,20.0,54.0,3f51e606-55ec-4867-b8ed-48dcbec0ad5e,2024-06-02T14:39:27.398Z
phenoms,2.0,5.0,24.0,21.0,5.0,9.0,8.0,5.0,15.0,12.0,62.0,3f51e606-55ec-4867-b8ed-48dcbec0ad5e,2024-06-02T14:39:27.398Z
advance,6.0,1.0,27.0,19.0,3.0,12.0,2.0,6.0,14.0,9.0,48.0,fd033afc-ba99-4d38-b612-c5bc01ae6902,2024-05-25T08:40:09.988Z
